PID,trial,response,rt,accuracy,display,filename,target_size,colour,quadrant,num_distractors,answer,distractor_bin
66,83.0,3,862.5999998092593,1,Task,image_88.jpg,medium,blue,Quadrant 3,41.0,3.0,41-44
66,84.0,2,1057.400000190741,1,Task,image_1.jpg,small,blue,Quadrant 2,4.0,2.0,1–4
66,85.0,1,691.700000190729,1,Task,image_66.jpg,medium,blue,Quadrant 1,18.0,1.0,17–20
66,86.0,4,710.7000000953558,1,Task,image_124.jpg,large,blue,Quadrant 4,29.0,4.0,29-32
66,87.0,3,1094.399999904621,1,Task,image_80.jpg,medium,red,Quadrant 3,35.0,3.0,33-36
66,88.0,1,810.1000000000058,1,Task,image_90.jpg,medium,blue,Quadrant 1,42.0,1.0,41-44
66,89.0,2,1609.5000001907465,1,Task,image_43.jpg,small,blue,Quadrant 2,44.0,2.0,41-44
66,90.0,2,799.0999998092593,1,Task,image_70.jpg,medium,red,Quadrant 2,22.0,2.0,21–24
66,91.0,3,1087.0,1,Task,image_32.jpg,small,green,Quadrant 3,35.0,3.0,33-36
66,92.0,2,1202.0999999046326,0,Task,image_19.jpg,small,blue,Quadrant 3,19.0,3.0,17–20
66,93.0,1,973.6000000953792,1,Task,image_57.jpg,medium,green,Quadrant 1,9.0,1.0,9–12
66,94.0,3,1125.9999999046267,1,Task,image_39.jpg,small,green,Quadrant 3,38.0,3.0,37-40
66,95.0,1,675.3999998092768,1,Task,image_105.jpg,large,green,Quadrant 1,9.0,1.0,9–12
66,96.0,3,803.1000000953791,1,Task,image_67.jpg,medium,green,Quadrant 3,19.0,3.0,17–20
66,97.0,3,793.4000001907407,1,Task,image_106.jpg,large,blue,Quadrant 3,11.0,3.0,9–12
66,98.0,3,711.9000001907407,1,Task,image_58.jpg,medium,red,Quadrant 3,11.0,3.0,9–12
66,99.0,3,610.3999999999942,1,Task,image_102.jpg,large,blue,Quadrant 3,7.0,3.0,5–8
66,100.0,3,797.7000000000116,1,Task,image_78.jpg,medium,blue,Quadrant 3,30.0,3.0,29-32
66,101.0,1,1257.399999904621,0,Task,image_20.jpg,small,red,Quadrant 4,21.0,4.0,21–24
66,102.0,1,1250.6999999999823,1,Task,image_34.jpg,small,red,Quadrant 1,36.0,1.0,33-36
66,103.0,4,598.7000000953558,1,Task,image_113.jpg,large,blue,Quadrant 4,17.0,4.0,17–20
66,104.0,2,1233.500000000029,1,Task,image_63.jpg,medium,green,Quadrant 2,16.0,2.0,13–16
66,105.0,1,697.9000001907407,1,Task,image_138.jpg,large,red,Quadrant 1,42.0,1.0,41-44
66,106.0,4,741.8999999999942,1,Task,image_93.jpg,medium,blue,Quadrant 4,46.0,4.0,45-49
66,107.0,2,1343.999999904656,0,Task,image_40.jpg,small,red,Quadrant 3,41.0,3.0,41-44
66,108.0,2,595.0999998092884,1,Task,image_122.jpg,large,red,Quadrant 2,28.0,2.0,25-28
66,109.0,4,637.8000000953907,1,Task,image_141.jpg,large,red,Quadrant 4,46.0,4.0,45-49
66,110.0,1,643.2999999046442,1,Task,image_119.jpg,large,blue,Quadrant 1,23.0,1.0,21–24
66,111.0,3,874.4000000000233,1,Task,image_0.jpg,small,red,Quadrant 3,1.0,3.0,1–4
66,112.0,3,779.3999999046209,1,Task,image_61.jpg,medium,red,Quadrant 3,13.0,3.0,13–16
66,113.0,1,661.4000000953674,1,Task,image_7.jpg,small,blue,Quadrant 1,8.0,1.0,5–8
66,114.0,3,1317.5000001907465,1,Task,image_21.jpg,small,blue,Quadrant 3,24.0,3.0,21–24
66,115.0,2,1393.9000000000233,1,Task,image_16.jpg,small,red,Quadrant 2,20.0,2.0,17–20
66,116.0,3,725.5999999999767,1,Task,image_117.jpg,large,red,Quadrant 3,24.0,3.0,21–24
66,117.0,2,835.9999998092535,1,Task,image_127.jpg,large,blue,Quadrant 2,31.0,2.0,29-32
66,118.0,2,1710.5000001907465,1,Task,image_35.jpg,small,blue,Quadrant 2,33.0,2.0,33-36
66,119.0,4,590.4999998092535,1,Task,image_98.jpg,large,red,Quadrant 4,2.0,4.0,1–4
66,120.0,1,699.8000000953907,1,Task,image_75.jpg,medium,blue,Quadrant 1,26.0,1.0,25-28
66,121.0,4,792.5999999999767,1,Task,image_76.jpg,medium,red,Quadrant 4,29.0,4.0,29-32
66,122.0,2,720.1999998092651,0,Task,image_129.jpg,large,blue,Quadrant 4,34.0,4.0,33-36
66,123.0,2,809.8999999046209,1,Task,image_79.jpg,medium,green,Quadrant 2,31.0,2.0,29-32
66,124.0,4,606.7000001907581,1,Task,image_100.jpg,large,red,Quadrant 4,6.0,4.0,5–8
66,125.0,2,1099.2999999999884,1,Task,image_31.jpg,small,blue,Quadrant 2,31.0,2.0,29-32
66,126.0,4,779.5999998092884,1,Task,image_73.jpg,medium,blue,Quadrant 4,25.0,4.0,25-28
66,127.0,2,781.6999998092651,1,Task,image_139.jpg,large,blue,Quadrant 2,44.0,2.0,41-44
66,128.0,3,860.1000000953791,1,Task,image_54.jpg,medium,green,Quadrant 3,7.0,3.0,5–8
66,129.0,2,1076.7000000953558,1,Task,image_38.jpg,small,blue,Quadrant 2,37.0,2.0,37-40
66,130.0,1,958.4000001907116,1,Task,image_82.jpg,medium,red,Quadrant 1,36.0,1.0,33-36
66,131.0,2,690.3000001907349,1,Task,image_107.jpg,large,red,Quadrant 2,10.0,2.0,9–12
66,132.0,4,810.0000000953441,1,Task,image_132.jpg,large,red,Quadrant 4,40.0,4.0,37-40
66,133.0,3,697.2000001907581,1,Task,image_136.jpg,large,blue,Quadrant 3,41.0,3.0,41-44
66,134.0,3,704.8999998092768,1,Task,image_126.jpg,large,red,Quadrant 3,30.0,3.0,29-32
66,135.0,3,665.4999998092535,1,Task,image_135.jpg,large,red,Quadrant 3,38.0,3.0,37-40
66,136.0,2,924.9000001907116,1,Task,image_91.jpg,medium,green,Quadrant 2,44.0,2.0,41-44
66,137.0,1,829.7000000953558,1,Task,image_130.jpg,large,red,Quadrant 1,36.0,1.0,33-36
66,138.0,1,823.8999999046209,1,Task,image_85.jpg,medium,red,Quadrant 1,39.0,1.0,37-40
66,139.0,4,807.5000001907465,1,Task,image_52.jpg,medium,green,Quadrant 4,6.0,4.0,5–8
66,140.0,3,1304.5000001907465,1,Task,image_47.jpg,small,blue,Quadrant 3,45.0,3.0,45-49
66,141.0,1,1202.4999998092535,0,Task,image_13.jpg,small,blue,Quadrant 3,13.0,3.0,13–16
66,142.0,2,888.5000000953441,1,Task,image_112.jpg,large,red,Quadrant 2,20.0,2.0,17–20
66,143.0,2,994.1999998092653,1,Task,image_11.jpg,small,red,Quadrant 2,10.0,2.0,9–12
66,144.0,4,797.3000001907349,1,Task,image_62.jpg,medium,blue,Quadrant 4,15.0,4.0,13–16
31,1.0,4,1410.8999998092622,0,Task,image_44.jpg,small,red,Quadrant 2,49.0,2.0,45-49
31,2.0,1,1398.1999996185332,1,Task,image_27.jpg,small,blue,Quadrant 1,26.0,1.0,25-28
31,3.0,1,1729.3999997139035,1,Task,image_29.jpg,small,green,Quadrant 1,32.0,1.0,29-32
31,4.0,2,705.9999996185361,1,Task,image_112.jpg,large,red,Quadrant 2,20.0,2.0,17–20
31,5.0,4,909.8999999046356,1,Task,image_76.jpg,medium,red,Quadrant 4,29.0,4.0,29-32
31,6.0,4,1071.8999997139035,1,Task,image_84.jpg,medium,green,Quadrant 4,40.0,4.0,37-40
31,7.0,2,678.7999996185245,1,Task,image_107.jpg,large,red,Quadrant 2,10.0,2.0,9–12
31,8.0,1,665.4999999046267,1,Task,image_125.jpg,large,red,Quadrant 1,32.0,1.0,29-32
31,9.0,1,1075.1999999046384,1,Task,image_94.jpg,medium,green,Quadrant 1,47.0,1.0,45-49
31,10.0,4,1090.199999999997,1,Task,image_56.jpg,medium,blue,Quadrant 4,12.0,4.0,9–12
31,11.0,2,1012.5999998092592,1,Task,image_131.jpg,large,green,Quadrant 2,33.0,2.0,33-36
31,12.0,2,1454.5999996185274,1,Task,image_26.jpg,small,green,Quadrant 2,28.0,2.0,25-28
31,13.0,4,4195.699999618533,0,Task,image_43.jpg,small,blue,Quadrant 2,44.0,2.0,41-44
31,14.0,3,982.299999809271,1,Task,image_128.jpg,large,green,Quadrant 3,35.0,3.0,33-36
31,15.0,4,1106.999999809268,1,Task,image_68.jpg,medium,red,Quadrant 4,21.0,4.0,21–24
31,16.0,2,2118.1999999046384,1,Task,image_16.jpg,small,red,Quadrant 2,20.0,2.0,17–20
31,17.0,3,918.1999998092653,1,Task,image_109.jpg,large,green,Quadrant 3,13.0,3.0,13–16
31,18.0,1,2090.600000000006,1,Task,image_23.jpg,small,red,Quadrant 1,23.0,1.0,21–24
31,19.0,1,1139.8999998092622,1,Task,image_57.jpg,medium,green,Quadrant 1,9.0,1.0,9–12
31,20.0,1,1482.5999997139006,1,Task,image_9.jpg,small,blue,Quadrant 1,9.0,1.0,9–12
31,21.0,3,1660.0999997139006,1,Task,image_88.jpg,medium,blue,Quadrant 3,41.0,3.0,41-44
31,22.0,2,753.5999999046326,1,Task,image_59.jpg,medium,blue,Quadrant 2,10.0,2.0,9–12
31,23.0,2,865.799999809271,1,Task,image_49.jpg,medium,blue,Quadrant 2,4.0,2.0,1–4
31,24.0,1,745.6000000000058,1,Task,image_77.jpg,medium,green,Quadrant 1,32.0,1.0,29-32
31,25.0,4,836.3000000000029,1,Task,image_124.jpg,large,blue,Quadrant 4,29.0,4.0,29-32
