PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
85,23.0,4,2341.600000000006,1,Task,image_30.jpg,vertical,original,top,Quadrant 4,39.0,4.0,33-49
85,24.0,2,2023.5599999999977,1,Task,image_100.jpg,horizontal,inverted,right,Quadrant 2,6.0,2.0,5–8
85,25.0,1,2454.040000000008,1,Task,image_35.jpg,vertical,inverted,bottom,Quadrant 1,4.0,1.0,1–4
85,26.0,4,2323.679999999993,1,Task,image_66.jpg,horizontal,original,left,Quadrant 4,3.0,4.0,1–4
85,27.0,1,2327.8399999999965,1,Task,image_99.jpg,horizontal,inverted,right,Quadrant 1,4.0,1.0,1–4
85,28.0,4,2341.920000000013,1,Task,image_102.jpg,horizontal,inverted,right,Quadrant 4,7.0,4.0,5–8
85,29.0,3,2687.859999999986,1,Task,image_101.jpg,horizontal,inverted,right,Quadrant 3,5.0,3.0,5–8
85,30.0,3,3040.039999999979,1,Task,image_96.jpg,horizontal,inverted,right,Quadrant 3,2.0,3.0,1–4
85,31.0,3,2311.899999999965,0,Task,image_118.jpg,horizontal,inverted,right,Quadrant 1,24.0,1.0,21–24
85,32.0,1,2649.359999999986,0,Task,image_77.jpg,horizontal,original,left,Quadrant 2,16.0,2.0,13–16
85,33.0,1,2524.2399999999907,1,Task,image_83.jpg,horizontal,original,left,Quadrant 1,18.0,1.0,17–20
85,34.0,4,2336.119999999996,1,Task,image_21.jpg,vertical,original,top,Quadrant 4,22.0,4.0,21–24
85,35.0,3,3336.7600000000093,0,Task,image_104.jpg,horizontal,inverted,right,Quadrant 2,12.0,2.0,9–12
85,36.0,1,2487.5599999999977,0,Task,image_89.jpg,horizontal,original,left,Quadrant 4,26.0,4.0,25-32
85,37.0,2,2135.8800000000047,1,Task,image_113.jpg,horizontal,inverted,right,Quadrant 2,20.0,2.0,17–20
85,38.0,1,2032.74000000002,1,Task,image_74.jpg,horizontal,original,left,Quadrant 1,11.0,1.0,9–12
85,39.0,4,2390.740000000049,0,Task,image_28.jpg,vertical,original,top,Quadrant 2,36.0,2.0,33-49
85,40.0,3,2153.9400000000023,1,Task,image_18.jpg,vertical,original,top,Quadrant 3,17.0,3.0,17–20
